file_path,2D_Shape,Area
/AaKvQKpdJI_42489660.png,1,11628
/abxeMwBJmm_55418060.png,1,9986
/AbYGxhxQwQ_75246453.png,0,80784
/aByqvQoAfU_54098909.png,0,22086
/acpNcyYyxF_66164243.png,0,5162
/AeGEkSSBFm_9983968.png,0,13612
/aeimhlkdtu_31134581.png,0,21716
/aENnPxdQwb_26095097.png,0,8528
/afMaETtOkv_71344991.png,0,30129
/AgaXDHiUMW_51528128.png,1,37368
/AgBhqceawL_85405895.png,1,31438
/agjBAfifcB_4646512.png,1,23300
/aHbiNcArHo_27647257.png,0,56511
/AHCetPjcbX_55885529.png,0,73372
/AhjBUHBORo_15513819.png,0,24492
/AhpEpgUwwF_1549897.png,1,13482
/ahQHyucZfw_24128489.png,0,43068
/aIsDBhNxIg_78180238.png,1,14982
/aJrbbUSYTj_62193182.png,1,24955
/AlbrqLNBXz_62703881.png,0,41275
/aLlQLeOdAB_61357839.png,1,18252
/ANlikemlUl_8038890.png,0,8468
/aNxoZwRnzb_66281658.png,0,4840
/aOiKzbpgBj_58981058.png,0,53037
/AOzzYUnOvy_18425938.png,0,9936
/aqEXOkwcmy_99108870.png,0,96558
/aRkbxKjvJv_8327943.png,1,7164
/ARuBhxJQZZ_35652073.png,0,10815
/aRUjhQSTJc_19500569.png,0,13734
/aRviAcMeAw_65719717.png,1,25584
/auqxvkjWiU_7379841.png,0,10585
/auVdoXPYlw_65025080.png,1,34784
/AUWsSkURdl_59079164.png,1,7756
/AUyTGcnklQ_86671314.png,1,24424
/AVGGpQZtKN_554590.png,0,80240
/avOVciunSG_28525525.png,1,15130
/AvycniRddP_38818523.png,1,11236
/AwDpSHLybe_14733544.png,1,20900
/AxBAOnWttw_5279244.png,0,139444
/ayxRYjixbZ_81797906.png,0,28179
/aZJLzqrXep_52572929.png,0,150300
/AZOapHbnVL_56445877.png,0,6958
/baEhUNtjXP_60257317.png,0,57717
/baRoQeXpzg_80536502.png,1,35659
/bBXwKRvatg_91460648.png,1,28324
/BbzHOBHCuy_34901065.png,0,89780
/bDSnrdnWUY_22841313.png,1,30848
/BDszXxCvLN_94860916.png,1,24108
/bEhKZwqPni_31855420.png,1,14268
/BfnhOwBINg_76040285.png,0,14098
/BfocIPPSCZ_33446153.png,1,12376
/BFPMBGAEUC_23337037.png,0,4296
/bfUhotmevv_93962638.png,1,35784
/BGdymNCFik_53900421.png,0,5100
/bhpNDNTimr_96350802.png,0,13886
/BhvfUnSUuQ_12105905.png,1,25705
/bIEpckwoBn_33879540.png,1,1362
/BIeWsikZaR_67908681.png,1,29552
/biIzTxOTZx_89972743.png,1,21483
/BJcVPInmMQ_20902693.png,0,106833
/bjiksiIRIk_44803135.png,0,7225
/BklcapvXWP_26574843.png,1,16271
/BKNgEcPszS_93470177.png,1,35560
/BKxMLWOqoo_37552161.png,0,18285
/bKZPywjLOK_41003847.png,0,26250
/BlHsVzMzoV_1607849.png,1,13671
/bLNefbIWSR_1678502.png,0,59731
/bLVqZnrozm_86508363.png,1,22968
/blywlWisxW_9242146.png,1,12514
/bLzGbWsYvr_30134472.png,1,22000
